price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,sqft_living15,sqft_lot15
489000,3,3,3700,10375,2,3,9,3700,0,1982,98188,2130,9132
925000,3,3,2560,3600,2,3,10,2110,450,1994,98119,2160,3600
730000,3,3,3460,13129,2,3,9,2560,900,1988,98077,3460,12568
700000,3,3,2090,7440,1.5,5,7,1290,800,1922,98103,1570,4960
560000,3,3,4120,60392,2,3,9,3180,940,1994,98014,2770,64033
1.03E+06,3,3,2800,5800,1,3,9,1580,1220,1953,98199,2580,5800
908800,3,3,3420,7826,2,4,8,2430,990,1939,98144,980,6300
2.25E+06,3,3,4040,7200,1.5,4,9,3340,700,1930,98112,3450,10800
390000,3,3,1550,1608,2,3,8,1280,270,2001,98122,1940,1883
336000,3,3,1790,13350,1,3,7,1190,600,1988,98178,1740,10624
612000,3,3,1740,3700,1,3,7,1740,0,1982,98122,1830,2480
355000,3,3,1850,9600,1,3,7,1230,620,1981,98028,1970,10000
606400,3,3,1800,5000,1.5,3,8,1500,300,1929,98119,1670,5000
3.10E+06,3,3,3920,13085,2,4,11,3920,0,1996,98040,3450,13287
359000,3,3,1320,1071,2,3,7,1080,240,2003,98144,1780,7715
765000,3,3,3270,38088,2,3,10,3270,0,1992,98053,1870,37457
342000,3,3,1260,1634,3,3,8,1260,0,1998,98103,1260,1135
1.20E+06,3,3,2350,1620,2,3,9,1560,790,2001,98112,2000,4380
250000,3,3,2300,7701,1,3,7,2300,0,1960,98056,1570,8116
335000,3,3,2031,7702,2,3,9,2031,0,1988,98023,2390,7700
1.80E+06,3,3,2790,13295,2,4,10,2370,420,1933,98006,3140,11949
509000,3,3,2130,5000,1.5,3,7,1570,560,1913,98118,1638,4500
1.00E+06,3,3,2880,3750,2,3,9,2220,660,1909,98122,1910,4000
565000,3,3,1850,12556,2,3,9,1850,0,1976,98074,2390,12474
323500,3,3,2240,11536,2,3,7,2240,0,1943,98178,1650,8760
1.07E+06,3,3,2940,4622,2,4,9,2230,710,1988,98105,1580,4000
199950,3,3,1530,2132,2,3,8,1530,0,1993,98038,1530,3384
675000,3,3,2980,28000,1,3,10,1820,1160,1981,98052,2570,28500
503045,3,3,1560,2250,2,3,9,1560,0,2009,98103,1610,4500
1.05E+06,3,3,3490,4500,2.5,3,9,3170,320,1924,98102,2840,4050
533000,3,3,1280,1085,3,3,8,1280,0,2004,98103,1300,1310
550388,3,3,1720,70567,1,5,7,1720,0,1966,98027,2740,70567
420000,3,3,2700,47050,2,4,9,1570,1130,1986,98058,2260,45901
850000,3,3,1910,4800,1.5,3,9,1910,0,1900,98103,1280,1310
435000,3,3,1440,1350,3.5,3,8,1440,0,2005,98103,1440,1350
245000,3,3,1990,9600,1,3,7,1440,550,1988,98003,1670,9600
510000,3,3,1845,5100,2,5,8,1845,0,1947,98056,2100,7650
1.25E+06,3,3,4610,8400,2,3,8,2790,1820,1947,98144,2160,5000
599900,3,3,3030,35123,2,4,8,1760,1270,1984,98027,2810,36205
519500,3,3,2390,19454,1.5,3,8,2390,0,2008,98166,1540,26979
301350,3,3,1860,7440,1,5,7,1040,820,1954,98178,1490,8160
516000,3,3,2330,7304,1,3,9,1300,1030,1971,98005,2330,9518
615000,3,3,1420,991,2,3,8,1040,380,2005,98102,1500,1301
738000,3,3,2630,4896,2,3,9,2630,0,2006,98052,2880,4972
1.58E+06,3,3,2610,22672,1.5,4,8,2610,0,1952,98166,2810,22672
1.25E+06,3,3,3760,8500,2.5,4,10,3060,700,1910,98116,2610,5500
408000,3,3,1500,1473,2,3,8,1120,380,2000,98122,1720,1976
498000,3,3,2360,2750,2,3,7,1780,580,1983,98125,1970,5800
849000,3,3,2960,42159,2,3,10,2960,0,1995,98052,2640,25209
294000,3,3,1670,4120,1.5,3,7,1140,530,1929,98055,1010,4120
805000,3,3,3910,19023,2,3,11,3910,0,1985,98014,1860,15001
975000,3,3,1850,5000,1.5,2,6,1850,0,1900,98107,1360,2500
887500,3,3,4230,54977,2,3,9,3780,450,1951,98166,2880,27201
640000,3,3,2270,5175,2,3,9,2130,140,2002,98056,2850,5661
835000,3,3,2790,12523,2,4,8,1600,1190,1977,98198,2990,11476
490000,3,3,1730,2940,3,3,7,1730,0,1985,98117,1690,4410
287200,3,3,1850,19966,1,4,7,1090,760,1992,98038,1410,6715
510000,3,3,1320,1012,3,3,8,1320,0,2009,98117,1320,1536
417400,3,3,2680,12285,1,4,8,2680,0,1970,98055,2610,9558
1.08E+06,3,3,4020,435600,1.5,3,10,4020,0,1999,98045,2590,283140
830000,3,3,2080,10521,1.5,3,9,2080,0,2004,98034,3730,11840
605000,3,3,1760,2114,2,3,7,1400,360,2008,98107,1300,1500
546000,3,3,1530,9999,1,4,7,1150,380,1983,98033,1530,8556
634950,3,3,2180,2650,1.5,5,8,1410,770,1930,98117,1570,4820
570000,3,3,2400,3192,2,3,7,2400,0,1991,98103,1360,3192
780000,3,3,2520,2152,1.5,3,8,1560,960,1925,98119,1140,2152
243500,3,3,2110,7794,1,3,6,2110,0,1981,98198,1330,10044
589000,3,3,1720,954,3,3,8,1460,260,2006,98119,1720,1294
950000,3,3,3610,17483,2,4,8,3610,0,1954,98146,2230,12600
1.34E+06,3,3,2960,5500,2,3,10,2440,520,1937,98199,2960,5876
660000,3,3,2470,11900,2,3,9,2290,180,1976,98074,2590,11900
249950,3,3,1790,2003,2,3,7,1480,310,2006,98108,1220,4000
335750,3,3,2400,7260,1,3,7,1440,960,1955,98178,1060,7200
525000,3,3,2600,5238,1.5,3,9,1890,710,1989,98198,2220,4853
2.23E+06,3,3,3620,28064,2,5,10,2370,1250,1977,98136,2550,34713
2.60E+06,3,3,3410,16015,2,4,10,2220,1190,1973,98040,3760,16572
840000,3,3,3570,6250,2,3,10,2710,860,1985,98116,2550,7596
525000,3,3,1730,1074,3.5,3,8,1730,0,2006,98107,1370,1185
530000,3,3,2450,211266,1.5,3,8,2450,0,2004,98022,2300,263492
537000,3,3,2410,7479,2,3,7,2410,0,1942,98155,2610,7479
399000,3,3,2240,10479,2,4,7,1710,530,1950,98106,1530,5244
649500,3,3,3730,383328,1.5,4,9,2230,1500,1990,98038,1940,217800
825000,3,3,3730,35900,1,3,9,2960,770,1979,98008,2280,16026
640000,3,3,1560,1466,3,3,8,1560,0,2006,98103,1530,2975
778000,3,3,2630,10156,1,4,9,2630,0,1987,98006,2660,10455
154000,3,3,1530,9997,1,3,6,1020,510,1992,98001,1410,9997
660000,3,3,2340,2970,2,5,8,2160,180,1925,98103,1370,4000
515000,3,3,2440,3202,2,4,8,1640,800,1982,98133,2440,3200
688000,3,3,3450,16200,2,3,10,3450,0,1983,98074,3130,12150
625000,3,3,1820,1641,3,3,8,1540,280,2006,98119,1720,1501
630000,3,3,1880,2200,2,3,8,1520,360,2007,98107,1500,1426
1.26E+06,3,3,3230,8625,2,3,10,2220,1010,1998,98116,2330,6022
272000,3,3,2430,10500,1,4,8,2150,280,1983,98003,1670,9800
475000,3,3,2540,18900,1,3,7,1580,960,1978,98072,2270,16000
2.23E+06,3,3,3450,16740,1,4,9,1960,1490,1949,98177,3220,12528
390000,3,3,2480,14141,1,3,8,1500,980,1994,98038,2480,10667
300000,3,3,2850,9375,1,3,8,2240,610,1977,98055,1800,9375
1.22E+06,3,3,4560,16339,2,3,10,4040,520,2001,98034,2620,11561
879000,3,3,3030,5156,1.5,4,9,2080,950,1929,98119,1910,5720
512500,3,3,2260,2400,2,3,7,2260,0,1909,98122,1320,2790
800000,3,3,2060,3200,2,3,8,2060,0,1907,98102,1760,2669
364900,3,3,2500,8304,2,3,8,2500,0,1997,98031,2290,7855
260000,3,3,2390,8993,2,3,8,1680,710,1988,98003,1820,10362
1.39E+06,3,3,2480,5500,2,3,10,1730,750,1950,98199,2950,5670
1.50E+06,3,3,3110,9015,1,4,10,1590,1520,1980,98033,3150,11447
473000,3,3,1380,1081,3,3,8,1380,0,2005,98107,1390,1140
651000,3,3,2260,1834,2,3,8,1660,600,2002,98122,2260,1834
495000,3,3,1520,4080,2,5,7,1520,0,1948,98144,1320,4080
731781,3,3,2630,4972,2,3,9,2630,0,2006,98052,2880,4972
445000,3,3,1970,24318,1,3,8,1970,0,2010,98028,2150,14695
555000,3,3,2410,12183,2,3,9,2410,0,1988,98011,2540,9979
400000,3,3,2090,7634,1,3,8,1450,640,2001,98019,2090,9600
811000,3,3,2470,7410,2,5,8,1860,610,1977,98117,2390,7800
820000,3,3,3850,38830,2,3,10,3850,0,2000,98006,2970,14050
1.08E+06,3,3,4910,43560,2,4,10,4000,910,1989,98007,3540,12288
600000,3,3,3530,8345,2,3,10,3530,0,2006,98028,1940,9600
427874,3,3,2340,5002,2,3,8,2340,0,2013,98045,2790,5375
432500,3,3,2500,6000,2,3,8,2500,0,2012,98058,2130,6000
305000,3,3,1290,1112,3,3,7,1290,0,2008,98125,1230,9000
399000,3,3,1520,1884,3,3,8,1520,0,2009,98125,1360,1939
566950,3,3,1730,1902,3,3,8,1730,0,2014,98117,1830,1804
399950,3,3,1860,2875,2,3,8,1710,150,2009,98126,1350,4830
459000,3,3,2440,2076,2,3,8,1930,510,2006,98126,2440,2310
453000,3,3,2330,4284,2,3,9,1920,410,2004,98108,2330,3709
437000,3,3,1460,1180,3,3,8,1460,0,2006,98117,1460,1224
366750,3,3,1571,2017,3,3,8,1571,0,2008,98125,1520,1497
635000,3,3,2230,1407,2.5,3,8,1850,380,2013,98027,2290,1407
635000,3,3,2290,1407,2.5,3,8,1890,400,2014,98027,2230,1407
399950,3,3,1296,1051,3,3,8,1296,0,2009,98125,1520,1939
327000,3,3,1370,1001,3,3,8,1370,0,2009,98133,1399,1151
515000,3,3,2100,2409,2,3,8,1660,440,2008,98144,1900,2400
275000,3,3,1390,1080,2,3,7,1140,250,2006,98118,1450,1081
1.33E+06,3,3,3180,2758,2,3,11,2240,940,2008,98109,2420,2758
1.25E+06,3,3,3460,5353,2,3,10,2850,610,2007,98116,2460,6325
357500,3,3,1730,1442,2,3,8,1440,290,2008,98106,1370,1524
798500,3,3,1950,1833,3,3,9,1610,340,2009,98004,2040,2131
575000,3,3,1384,1287,2,3,8,1144,240,2006,98102,1570,1288
246950,3,3,1670,4440,1,3,7,1670,0,2014,98022,1670,4622
577450,3,3,1730,1755,3,3,8,1730,0,2014,98117,1830,1804
589410,3,3,2840,7201,2,3,9,2840,0,2014,98065,2540,5260
556000,3,3,1960,1168,2,3,9,1600,360,2007,98027,2080,1423
474950,3,3,1530,1568,3,3,8,1530,0,2012,98117,1460,1224
646800,3,3,2230,1407,2.5,3,8,1850,380,2014,98027,2230,1407
427005,3,3,1460,1200,3,3,8,1460,0,2006,98117,1460,1245
552100,3,3,1330,1379,2,4,8,1120,210,2005,98122,1810,1770
785000,3,3,1950,1983,3,3,9,1610,340,2009,98004,2040,2131
635000,3,3,2230,1407,2.5,3,8,1850,380,2014,98027,2290,1407
590000,3,3,1740,1100,3,3,8,1740,0,2007,98107,1370,1180
716000,3,3,1660,1849,3,3,9,1660,0,2013,98103,1660,3300
598500,3,3,1560,2091,3,3,8,1560,0,2006,98103,1530,2091
669950,3,3,2330,1944,2.5,3,8,1950,380,2014,98027,2290,1407
610950,3,3,1680,1570,3,3,8,1680,0,2014,98103,1640,4800
594866,3,3,2780,6000,2,3,9,2780,0,2013,98065,2850,6000
625000,3,3,2780,6000,2,3,9,2780,0,2013,98065,2850,6000
531000,2,3,1270,1175,2,3,8,1110,160,2000,98103,1290,1800
450000,2,3,1790,1709,2,3,7,1400,390,2001,98144,1460,1462
405000,2,3,1410,1240,2,3,8,1140,270,2006,98136,1410,1273
790000,2,3,2560,982278,1,3,8,2560,0,2004,98014,1620,40946
589900,2,3,3160,66646,2,3,7,3160,0,1993,98077,3140,38790
1.05E+06,2,3,2330,3600,2,5,10,1870,460,1927,98112,2950,7200
742500,2,3,2020,5000,1,3,8,1350,670,1952,98117,1160,1118
505000,2,3,2770,10800,1.5,5,8,1910,860,1984,98074,2140,10800
657000,2,3,1570,1281,3,3,8,1570,0,2014,98107,1570,2500
437000,2,3,1460,1452,2,3,8,1140,320,2007,98136,1460,1452
1.26E+06,2,3,2210,3917,2,3,10,1500,710,2008,98122,1720,3933
405000,2,3,1160,1073,2,3,7,880,280,2007,98144,1250,4812
559000,2,3,1650,960,3,3,8,1350,300,2015,98103,1650,3000
2.00E+06,3,2.75,3050,44867,1,3,9,2330,720,1968,98040,4110,20336
317625,3,2.75,2770,3809,1.5,5,7,1770,1000,1925,98144,1440,4000
441000,3,2.75,1910,7280,1,3,7,1160,750,1979,98034,1710,8152
559900,3,2.75,2930,5569,1,3,9,1860,1070,2004,98072,2580,11045
490000,3,2.75,1980,3128,2,4,9,1980,0,1979,98008,1950,2856
691100,3,2.75,2360,16117,1,4,8,1710,650,1983,98006,2120,16117
299000,3,2.75,3080,19635,1,4,7,1610,1470,1958,98032,2424,12410
695000,3,2.75,2540,4694,2,3,9,2540,0,2005,98074,2600,6344
403000,3,2.75,2090,8354,2,3,8,2090,0,2012,98019,2280,6348
405300,3,2.75,2390,7939,1,5,7,1610,780,1983,98056,1920,7939
565000,3,2.75,2390,9966,1,5,8,1360,1030,1977,98006,2140,10713
500000,3,2.75,3410,9360,1.5,4,8,3410,0,1967,98058,2260,10128
360000,3,2.75,2030,6840,1,3,7,1210,820,1979,98108,1910,6365
265000,3,2.75,1120,881,3,3,8,1120,0,1999,98103,1120,1087
595000,3,2.75,2150,31238,2,3,9,2150,0,1996,98014,2650,38307
503000,3,2.75,1540,6760,1,5,7,1210,330,1980,98034,1540,7416
370000,3,2.75,1250,1655,2,3,7,830,420,2006,98136,1520,3001
750000,3,2.75,3010,206910,2,3,10,3010,0,2001,98045,1580,120675
1.57E+06,3,2.75,2340,8828,1,4,9,2340,0,1954,98112,3480,8526
643000,3,2.75,2030,7700,1,5,8,1400,630,1965,98008,1780,8160
353000,3,2.75,2170,8396,2,3,7,2170,0,1995,98038,2170,8378
1.65E+06,3,2.75,2690,8890,2,4,10,2690,0,1975,98006,2940,8890
760000,3,2.75,3530,69834,2,3,10,3530,0,1994,98053,3560,74256
429500,3,2.75,1650,7272,1,4,7,1230,420,1972,98034,1770,7272
618000,3,2.75,3200,12682,2,3,9,3200,0,1977,98028,2880,10432
473000,3,2.75,1050,7200,1,3,7,1050,0,1985,98125,1860,9000
685000,3,2.75,3150,219978,2,4,9,3000,150,1990,98024,3180,218235
535000,3,2.75,2300,12197,2,3,8,2300,0,1989,98166,1710,11220
646000,3,2.75,2460,6413,2,3,9,2460,0,2004,98028,2440,6092
785000,3,2.75,2310,5200,1,4,7,1520,790,1940,98199,2310,5200
900000,3,2.75,2980,12600,1.5,3,8,1590,1390,1941,98033,1520,9660
462000,3,2.75,1890,2614,2,4,9,1890,0,1979,98008,1800,2769
485000,3,2.75,2650,12350,1,4,7,1470,1180,1975,98028,1950,14075
1.00E+06,3,2.75,3070,10739,2,3,10,2440,630,1987,98004,3490,11913
570000,3,2.75,2730,11936,2,3,8,1530,1200,1978,98034,2810,12333
678000,3,2.75,2770,10000,1,5,8,1640,1130,1962,98033,2450,10000
401000,3,2.75,2020,9505,1,3,7,1260,760,1969,98011,2080,11901
864000,3,2.75,3060,13554,2,3,10,3060,0,1984,98006,3060,11455
590000,3,2.75,2550,54014,2,4,8,1980,570,1967,98072,2180,21600
999000,3,2.75,2830,505166,1,4,8,1830,1000,1962,98070,2120,21988
765000,3,2.75,2250,9600,2.5,4,9,1830,420,1909,98122,2060,4980
502000,3,2.75,2010,11200,1,3,8,1360,650,1979,98028,2200,10640
759000,3,2.75,1960,6390,1.5,5,8,1960,0,1900,98122,2440,5870
350000,3,2.75,3070,5280,2,3,7,2360,710,1950,98166,2570,18983
350000,3,2.75,1650,5700,2,4,7,1650,0,1988,98166,1320,7620
770000,3,2.75,2070,54557,2,3,8,2070,0,1996,98058,2190,49658
406500,3,2.75,1840,68479,1,3,8,1340,500,1989,98014,2060,61903
286000,3,2.75,1100,750,2,3,7,780,320,2008,98106,1170,4800
750000,3,2.75,2520,5401,1,4,7,1360,1160,1946,98119,1800,5036
689800,3,2.75,2390,9313,1,5,8,1390,1000,1942,98133,2390,12712
589950,3,2.75,1670,1350,3,3,9,1350,320,2014,98116,1520,4800
1.30E+06,3,2.75,4120,16365,1,3,12,4120,0,1999,98059,4020,14110
335000,3,2.75,2850,8039,1,4,8,1540,1310,1989,98031,2240,7727
489200,3,2.75,1850,9600,1.5,5,7,1850,0,1965,98034,1250,10500
268000,3,2.75,1880,1793,2,3,7,1810,70,2001,98108,1800,2537
300000,3,2.75,1910,15508,1,3,8,1210,700,1984,98023,2450,7989
1.15E+06,3,2.75,3230,75889,2,3,7,3230,0,1925,98023,2560,72229
1.34E+06,3,2.75,2730,38869,1.5,3,9,1940,790,1963,98146,2630,28188
1.21E+06,3,2.75,3150,5520,1.5,4,8,2130,1020,1925,98112,3160,6200
800000,3,2.75,2220,4000,2,3,8,1700,520,1914,98122,1800,4000
390000,3,2.75,1950,12240,1,3,7,1250,700,1956,98028,1880,12000
605000,3,2.75,3230,9576,1.5,4,8,3230,0,1966,98034,2820,9576
525000,3,2.75,2100,10362,2,3,9,1510,590,1998,98045,2240,11842
329999,3,2.75,3360,41250,1,4,7,1820,1540,1988,98022,2580,98881
607000,3,2.75,2810,12813,2,3,8,2040,770,1988,98052,1890,10336
678500,3,2.75,1210,3600,1.5,5,7,1210,0,1910,98103,1630,3910
572000,3,2.75,2200,3885,2,3,8,2200,0,2002,98074,2710,6000
335000,3,2.75,1990,19991,1,3,7,1340,650,1977,98072,1750,9775
485000,3,2.75,1670,3330,1.5,4,7,1670,0,1925,98107,1370,5000
329000,3,2.75,1920,7700,1,4,8,1320,600,1978,98023,2040,8000
600000,3,2.75,3580,14217,2,4,10,2210,1370,1989,98023,3990,14674
780000,3,2.75,2910,3094,2,5,7,2010,900,1939,98125,2400,7530
1.88E+06,3,2.75,2620,17919,1,4,9,2620,0,1949,98039,3400,14400
210000,3,2.75,1320,15236,1,3,7,880,440,1995,98030,1490,8351
415000,3,2.75,3900,111514,2,3,6,3460,440,1967,98024,2460,217800
245000,3,2.75,1300,14197,1,3,7,860,440,1996,98030,1550,7596
415000,3,2.75,2080,9600,1,3,7,2080,0,1988,98028,2220,9600
519000,3,2.75,2020,10744,1,5,7,1270,750,1954,98166,2020,11069
1.45E+06,3,2.75,3940,9671,1,5,9,2140,1800,1967,98006,3390,9360
710000,3,2.75,2930,218235,2,3,8,2930,0,1990,98024,2450,218235
199950,3,2.75,2270,13590,1.5,4,6,1300,970,1948,98022,1160,13545
775000,3,2.75,2850,14800,1,4,9,1920,930,1976,98006,3300,10809
805000,3,2.75,2600,5875,1.5,5,8,1600,1000,1929,98116,2260,5492
326000,3,2.75,1720,28000,1,4,7,1720,0,1958,98058,2000,41817
340000,3,2.75,1720,28000,1,4,7,1720,0,1958,98058,2000,41817
350000,3,2.75,2370,4632,2,3,7,2370,0,2002,98038,2290,5012
580000,3,2.75,2660,32757,1,4,8,2660,0,1975,98077,2720,35191
430000,3,2.75,2600,12860,1,3,7,1350,1250,1965,98014,2260,12954
599000,3,2.75,1960,2500,1.5,5,7,1410,550,1926,98103,2040,5000
408506,3,2.75,2480,209199,1.5,3,8,1870,610,2000,98010,2040,219229
795000,3,2.75,2940,12487,2,3,10,2940,0,1997,98075,3110,10837
239999,3,2.75,1740,8436,1,3,7,1140,600,1967,98003,1550,8436
1.43E+06,3,2.75,2710,9204,1.5,3,9,1480,1230,1975,98177,2960,10080
325000,3,2.75,2200,7000,1,4,7,1280,920,1977,98058,1670,7000
560000,3,2.75,1370,1193,3,3,8,1370,0,2003,98107,1320,1180
325000,3,2.75,1580,4007,2,3,7,1580,0,2001,98019,1770,3799
713000,3,2.75,2310,1850,2,3,10,2020,290,2011,98027,2340,2155
455000,3,2.75,2720,31314,3,3,8,2720,0,1986,98042,2290,15188
370000,3,2.75,1750,9166,1,4,7,1170,580,1979,98155,1810,8760
296500,3,2.75,2170,7900,1,4,8,1380,790,1978,98032,2170,7700
470000,3,2.75,2770,54707,1.5,3,8,2370,400,1938,98155,1640,54707
698000,3,2.75,2640,11957,1.5,3,9,2260,380,1978,98052,2640,12641
2.15E+06,3,2.75,3470,9610,3,3,11,3470,0,1989,98034,4130,11875
645000,3,2.75,1850,16960,1,4,8,1850,0,1953,98177,2470,13761
613200,3,2.75,2050,3320,1.5,4,7,1580,470,1927,98105,1760,4150
415000,3,2.75,1770,3172,2,3,8,1770,0,2009,98065,1760,2891
875000,3,2.75,3270,39586,1.5,3,11,3270,0,1988,98077,3480,35998
1.32E+06,3,2.75,2680,20104,1,5,9,1820,860,1964,98039,3060,19837
359950,3,2.75,2540,8604,2,3,8,2540,0,1991,98092,2260,7438
623000,3,2.75,2390,21804,1,3,8,1450,940,1973,98034,2390,10136
425000,3,2.75,3610,107386,1.5,3,8,3130,480,1918,98023,2630,42126
515000,3,2.75,1710,9448,1,3,7,1010,700,1947,98105,1960,8951
563000,3,2.75,2340,16500,1,4,8,1500,840,1972,98075,2210,15251
445000,3,2.75,2180,3703,2,3,8,2180,0,2004,98011,2190,3963
565000,3,2.75,3210,15939,2,3,10,3210,0,1998,98023,2870,15939
397900,3,2.75,2500,35245,1,3,7,1580,920,2000,98042,2060,153766
970500,3,2.75,2470,10125,2,3,8,2470,0,1960,98040,2290,10125
667000,3,2.75,2216,31215,1,3,9,2216,0,1968,98092,2216,30048
706000,3,2.75,1900,6400,1,5,7,1410,490,1942,98105,1350,6400
314000,3,2.75,1900,8200,2,4,7,1900,0,1984,98031,1620,8200
550000,3,2.75,1960,13252,1,5,8,1240,720,1975,98006,2040,9866
585000,3,2.75,3080,7282,2,3,9,3080,0,2008,98059,3080,7274
1.25E+06,3,2.75,2780,4815,3,3,10,2780,0,1974,98105,2820,5000
1.08E+06,3,2.75,3890,7216,2,3,8,3260,630,1967,98118,2490,9920
1.10E+06,3,2.75,2640,4050,1.5,5,8,1750,890,1926,98112,1920,3600
535000,3,2.75,2490,3600,2,3,8,2290,200,1906,98122,1880,3600
649950,3,2.75,1670,1350,3,3,9,1350,320,2014,98116,1520,4800
425590,3,2.75,1940,3088,2,3,8,1770,170,2008,98065,1410,2335
520000,3,2.75,1700,3264,1,3,7,1060,640,1919,98115,1880,4080
362000,3,2.75,1420,955,2,3,8,1160,260,2004,98029,1420,955
920000,3,2.75,2590,223027,2,3,9,2590,0,1983,98074,3410,212137
488500,3,2.75,1820,9490,2,3,7,1820,0,1994,98011,1950,8851
709000,3,2.75,2780,7200,1.5,4,8,1870,910,1913,98118,1700,7200
600000,3,2.75,2080,16740,1,3,8,1580,500,1966,98198,2175,7568
433000,3,2.75,2000,7200,1,3,7,1000,1000,1954,98166,1440,7200
495000,3,2.75,1830,208216,2,3,8,1830,0,1997,98070,1530,16988
420000,3,2.75,2300,8000,1,3,7,1430,870,1965,98003,2070,10200
925500,3,2.75,1970,5200,1.5,3,8,1970,0,1915,98136,2140,5200
500000,3,2.75,1560,77536,1,3,7,1400,160,1978,98072,2210,41449
819000,3,2.75,3176,13391,2,4,9,2726,450,1985,98198,3470,12779
757000,3,2.75,2610,11290,1,3,7,1630,980,1985,98033,2570,9125
851000,3,2.75,2660,10350,1,4,8,1330,1330,1971,98008,2820,10043
903000,3,2.75,3860,12786,2,4,10,3860,0,1984,98006,2820,14636
300000,3,2.75,2090,9620,1,3,8,1340,750,1987,98023,2150,9660
310000,3,2.75,2090,9620,1,3,8,1340,750,1987,98023,2150,9660
700000,3,2.75,2500,7378,1,5,7,1390,1110,1948,98177,2040,7140
1.60E+06,3,2.75,3040,21052,2,4,10,3040,0,1980,98004,2950,21052
1.30E+06,3,2.75,3340,12690,1,3,10,2550,790,1956,98105,3340,9480
660000,3,2.75,2210,4000,2,3,8,2210,0,2008,98053,2230,4674
1.07E+06,3,2.75,2290,5002,2,4,9,1950,340,1995,98033,2290,5100
560000,3,2.75,1620,7500,1,5,7,1140,480,1979,98074,1900,7500
515000,3,2.75,3290,11441,2,4,10,3290,0,1988,98023,2600,12070
400000,3,2.75,2220,5000,2,3,7,2220,0,1993,98108,960,5000
303000,3,2.75,1850,8820,2,4,8,1850,0,1993,98022,1850,8651
1.48E+06,3,2.75,3910,7080,1,5,9,1970,1940,1949,98112,3480,7370
674950,3,2.75,3510,92347,2,3,10,3510,0,1990,98038,2970,37070
